"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"web-runtime-with-compiler.js","/home/marczinusd/dev/vue/src/entries/web-runtime-with-compiler.js","3","33","84","100","e17868a0-b1b3-4009-9280-239a1a470b78",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/compiler/index.js","1","6","96","100","c3bda7e9-573e-42f0-9d60-520c2da0dabc",""
"node-ops.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/node-ops.js","1","10","55","100","54952561-e9b0-44be-bccb-586bb1462235",""
"transition-util.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/transition-util.js","1","6","141","100","86ebe4ba-2b58-490e-ac2e-9e8481b4438a",""
"patch.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/patch.js","2","5","12","100","b1e9af82-4773-4ba0-a673-24c77bca1d57",""
"class-util.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/class-util.js","2","10","43","100","e77a586f-3976-4ab0-949f-48e6333a2a01",""
"compat.js","/home/marczinusd/dev/vue/src/platforms/web/util/compat.js","1","2","21","100","2b7cd5dd-c012-4f13-a756-e06b2e880e8f",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/web/util/attrs.js","2","10","64","100","1d3970dd-ee6b-4b17-9e51-a1930b7665e2",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/util/index.js","2","13","24","100","4fb029dd-ea71-45c8-b0a2-8abf02086030",""
"class.js","/home/marczinusd/dev/vue/src/platforms/web/util/class.js","2","9","76","100","a115e1c9-eab8-4b18-81e2-0a4557306df6",""
"show.js","/home/marczinusd/dev/vue/src/platforms/web/server/directives/show.js","1","4","8","100","1697df37-e66d-4566-a82f-720665b51c75",""
"element.js","/home/marczinusd/dev/vue/src/platforms/web/util/element.js","3","13","99","100","44a2bff7-b2ad-455a-8c47-7c66056d6f25",""
"index.js","/home/marczinusd/dev/vue/src/core/vdom/modules/index.js","1","3","7","100","eaabc7bd-c872-444c-b859-86f7a4864c78",""
"directives.js","/home/marczinusd/dev/vue/src/core/vdom/modules/directives.js","1","14","78","100","4fee6e93-5f73-438a-b492-98c33d55022e",""
"entity-decoder.js","/home/marczinusd/dev/vue/src/compiler/parser/entity-decoder.js","1","5","8","100","ae488bef-3592-469e-9f17-de9ebb0134ea",""
"html-parser.js","/home/marczinusd/dev/vue/src/compiler/parser/html-parser.js","2","20","282","-1","ec42ecc3-7a1a-4a8a-a640-d350e751a427",""
"index.js","/home/marczinusd/dev/vue/src/compiler/parser/index.js","5","93","467","100","a5420873-6bb4-494d-ba4b-b423774949dd",""
"filter-parser.js","/home/marczinusd/dev/vue/src/compiler/parser/filter-parser.js","1","4","78","100","444ec9f3-cec0-4898-8c67-b20710f8ac74",""
