"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"get.js","/home/marczinusd/dev/moment/src/lib/duration/get.js","1","3","25","100","c05e4908-643f-450a-9c8a-07075d85e1bf",""
"ca.js","/home/marczinusd/dev/moment/src/locale/ca.js","2","4","70","100","41abeb1e-28e8-4307-a69d-57337da4a9db",""
"id.js","/home/marczinusd/dev/moment/src/locale/id.js","2","4","74","100","8b60c02a-8c49-43a9-bb69-d2002a4608ad",""
"ar-tn.js","/home/marczinusd/dev/moment/src/locale/ar-tn.js","2","4","48","100","3b4db7d6-e801-4bf0-b307-828af0f2ed24",""
"hi.js","/home/marczinusd/dev/moment/src/locale/hi.js","2","5","114","100","53082a96-6b25-4f7a-ad8c-13ce4eacc401",""
"ms-my.js","/home/marczinusd/dev/moment/src/locale/ms-my.js","3","6","73","100","4483867b-91fa-4bcc-8b58-ce575600c6b3",""
"jv.js","/home/marczinusd/dev/moment/src/locale/jv.js","2","3","73","100","e3db1f81-6334-4b8c-8b86-f0aeae390d33",""
"lv.js","/home/marczinusd/dev/moment/src/locale/lv.js","3","7","87","100","429f7c83-7381-4ea6-a814-51f47ca3e746",""
"de.js","/home/marczinusd/dev/moment/src/locale/de.js","2","5","66","100","017c9cc5-960d-4ce8-a9dd-c1ee0c5a3958",""
"fi.js","/home/marczinusd/dev/moment/src/locale/fi.js","2","5","98","100","2bd5c077-68ea-4cdb-8e10-4b80bfc318c9",""
"pt.js","/home/marczinusd/dev/moment/src/locale/pt.js","3","5","55","100","54e7baa5-b00f-4547-8530-ae365c8032da",""
"et.js","/home/marczinusd/dev/moment/src/locale/et.js","2","5","71","100","7e24bd5a-a265-4d05-9511-a9966a80d051",""
"sr.js","/home/marczinusd/dev/moment/src/locale/sr.js","2","5","99","100","cce116dd-0d18-403b-a2c9-85efcde1dff6",""
"es.js","/home/marczinusd/dev/moment/src/locale/es.js","3","6","70","100","7ae68b8c-607d-40b6-9615-d5ea31145686",""
"nb.js","/home/marczinusd/dev/moment/src/locale/nb.js","2","4","52","100","88b9a4f1-1647-447a-be5a-30b7f5b73289",""
"nl.js","/home/marczinusd/dev/moment/src/locale/nl.js","2","5","62","100","b42ce7b7-ce82-4d35-9dcb-a1bd14ed9dbf",""
"en-au.js","/home/marczinusd/dev/moment/src/locale/en-au.js","2","4","57","100","561fbe1d-06f0-4fe3-baca-c9cc89db45f3",""
"ne.js","/home/marczinusd/dev/moment/src/locale/ne.js","2","5","114","100","a081dfa1-eb14-409a-b909-8129ed4ec35e",""
"my.js","/home/marczinusd/dev/moment/src/locale/my.js","2","6","84","100","48e71a6e-c43b-4bab-84d6-2c5857b9aa56",""
"cv.js","/home/marczinusd/dev/moment/src/locale/cv.js","2","5","53","100","25d873c4-48ff-4f30-b1d0-81f55007fdd9",""
"de-at.js","/home/marczinusd/dev/moment/src/locale/de-at.js","2","5","67","100","2c4b9dcd-837e-4c79-910c-c066c6afd98e",""
"fo.js","/home/marczinusd/dev/moment/src/locale/fo.js","2","4","51","100","1ad5b21f-d254-40c2-8e9d-781101348406",""
"eu.js","/home/marczinusd/dev/moment/src/locale/eu.js","2","4","55","100","1d65ba3c-be74-43f8-b432-9459de84fe6d",""
"fy.js","/home/marczinusd/dev/moment/src/locale/fy.js","2","5","62","100","a7214476-b077-4aca-b3dd-4cdcd66f499e",""
"gl.js","/home/marczinusd/dev/moment/src/locale/gl.js","2","4","66","100","95f34add-8380-4ff7-a308-77299ee02ef6",""
"tzm-latn.js","/home/marczinusd/dev/moment/src/locale/tzm-latn.js","2","4","49","100","ce7cabe0-c983-429a-b013-aadbb8ac4919",""
"uz.js","/home/marczinusd/dev/moment/src/locale/uz.js","2","4","49","100","0f2557e1-c25f-4e27-96c5-e85a278bb952",""
"pt-br.js","/home/marczinusd/dev/moment/src/locale/pt-br.js","3","7","51","100","95d3ea2d-44d0-4474-be43-5a5651f69260",""
"da.js","/home/marczinusd/dev/moment/src/locale/da.js","2","4","51","100","b1474f2e-571e-4303-a824-1230b2f82bd4",""
"tzm.js","/home/marczinusd/dev/moment/src/locale/tzm.js","2","4","49","100","675ad35b-797c-4300-850a-a00810a0c9e1",""
"si.js","/home/marczinusd/dev/moment/src/locale/si.js","2","3","56","100","91288ba9-0030-4a75-821f-7850a4414d8d",""
"fr-ca.js","/home/marczinusd/dev/moment/src/locale/fr-ca.js","3","5","49","100","00ae00c6-1fba-44bb-a64d-e54b62bbc687",""
"sr-cyrl.js","/home/marczinusd/dev/moment/src/locale/sr-cyrl.js","2","5","99","100","b3bba244-d6c1-469f-9b36-89fc0a2204e1",""
"ko.js","/home/marczinusd/dev/moment/src/locale/ko.js","2","4","59","100","d40dad38-a607-4aef-85f4-9336eeac45d1",""
"el.js","/home/marczinusd/dev/moment/src/locale/el.js","2","4","85","100","f69faeb1-3896-45fa-bcc4-1bd1c4ad06c1",""
"tr.js","/home/marczinusd/dev/moment/src/locale/tr.js","2","5","81","100","aa528350-e421-4b15-8e42-7661f04d49c1",""
"en-gb.js","/home/marczinusd/dev/moment/src/locale/en-gb.js","2","4","58","100","1ddf694e-5e4f-48da-b41d-66991ae0e286",""
"ta.js","/home/marczinusd/dev/moment/src/locale/ta.js","2","5","86","100","d5bd5e04-3b15-4426-a62f-2f4d3205a043",""
"nn.js","/home/marczinusd/dev/moment/src/locale/nn.js","2","4","51","100","ddcf1bbc-f243-4e71-8778-ec45be905ad0",""
"me.js","/home/marczinusd/dev/moment/src/locale/me.js","2","3","99","100","a5b6a66e-e6f2-4ead-ad70-8414ccbac592",""
"en-ca.js","/home/marczinusd/dev/moment/src/locale/en-ca.js","2","4","54","100","ad355ba7-1272-4ade-a592-00a573db5334",""
"ar-ma.js","/home/marczinusd/dev/moment/src/locale/ar-ma.js","2","4","50","100","0e44d276-073b-437e-a936-ab6a8356c67e",""
"he.js","/home/marczinusd/dev/moment/src/locale/he.js","2","4","73","100","80dc9d0b-431e-4102-8845-124e0c46ede4",""
"sv.js","/home/marczinusd/dev/moment/src/locale/sv.js","2","5","58","100","cc06017d-f2d6-40fa-8f4c-e150acbfaa5f",""
"ro.js","/home/marczinusd/dev/moment/src/locale/ro.js","2","5","65","100","d579879f-c960-4da8-9435-aa1a532fca66",""
"tl-ph.js","/home/marczinusd/dev/moment/src/locale/tl-ph.js","2","4","53","100","b50a7902-3da7-471a-9f66-ee226e709417",""
"vi.js","/home/marczinusd/dev/moment/src/locale/vi.js","2","4","57","100","d0ea8fc4-1ffa-4135-85a2-f8c7488dbbc7",""
"km.js","/home/marczinusd/dev/moment/src/locale/km.js","2","4","49","100","896984a5-f467-4302-ac73-91d2f24c6295",""
"ms.js","/home/marczinusd/dev/moment/src/locale/ms.js","2","4","73","100","a24d0471-3182-4d10-beb4-565031ebe6d2",""
"fr.js","/home/marczinusd/dev/moment/src/locale/fr.js","2","4","53","100","59699e5e-2202-4932-b26c-ba079c4dda05",""
"mr.js","/home/marczinusd/dev/moment/src/locale/mr.js","2","6","112","100","c40fc022-a9d7-4a7c-9e79-4e80e1b9913c",""
"moment.js","/home/marczinusd/dev/moment/src/moment.js","1","9","68","98.02224969097651","ec7fc5ae-23fa-4b78-b26f-7e19c2bb4145",""
"moment.js","/home/marczinusd/dev/moment/src/lib/moment/moment.js","1","3","26","98.02224969097651","3403f5bc-e21f-403c-87ee-d1764508dec3",""
"zh-cn.js","/home/marczinusd/dev/moment/src/locale/zh-cn.js","4","6","118","97.43589743589743","ab241287-ea1c-4d2e-b168-85be28ac129f",""
"hy-am.js","/home/marczinusd/dev/moment/src/locale/hy-am.js","2","5","102","96.42857142857143","6f5770fd-888c-4917-a3b2-e1dd173b338b",""
"zh-tw.js","/home/marczinusd/dev/moment/src/locale/zh-tw.js","3","5","91","96.29629629629629","3f1ccf8e-33ae-4d9c-b292-f27b3febdc6f",""
"br.js","/home/marczinusd/dev/moment/src/locale/br.js","2","5","98","96.15384615384616","134115c8-8b44-4f80-800f-4d0d7c779461",""
"pl.js","/home/marczinusd/dev/moment/src/locale/pl.js","3","6","95","96.15384615384616","ddd5c7f6-05fb-4962-8fbe-9433d2ff7120",""
"bg.js","/home/marczinusd/dev/moment/src/locale/bg.js","2","4","81","95.23809523809524","00fcd578-e6bd-402c-8d58-ff4e3534f6bd",""
"mk.js","/home/marczinusd/dev/moment/src/locale/mk.js","2","4","81","95.23809523809524","d3ac61b1-38a4-4f32-a7c1-d327cfcacefa",""
"bo.js","/home/marczinusd/dev/moment/src/locale/bo.js","2","5","101","94.73684210526316","1f11959e-64fd-4a5f-a613-a25ca99f2917",""
"bn.js","/home/marczinusd/dev/moment/src/locale/bn.js","3","6","104","94.73684210526316","f459126a-39e7-405c-b3fd-2d8edd0a8bbb",""
"be.js","/home/marczinusd/dev/moment/src/locale/be.js","2","5","138","94.44444444444444","5209f4f0-ecc4-4722-b747-b97354e10fa3",""
"lt.js","/home/marczinusd/dev/moment/src/locale/lt.js","3","6","116","93.54838709677419","0e1e9b58-348b-4903-849e-07c4a8d25ecf",""
"ru.js","/home/marczinusd/dev/moment/src/locale/ru.js","2","5","155","93.02325581395348","4e174fe3-d3c4-4103-a616-a1dcde4effbd",""
"ml.js","/home/marczinusd/dev/moment/src/locale/ml.js","2","4","62","92.85714285714286","af6bcf3e-e7d1-4712-8bac-25b29c3d1a3c",""
"hu.js","/home/marczinusd/dev/moment/src/locale/hu.js","3","6","100","92.85714285714286","0aed1f41-b071-41c2-8044-14d0d2a1fff7",""
"uk.js","/home/marczinusd/dev/moment/src/locale/uk.js","2","5","144","92.10526315789474","94ed00c6-59aa-4c77-959d-392e48130e5d",""
"cy.js","/home/marczinusd/dev/moment/src/locale/cy.js","2","4","70","91.66666666666667","6bd15409-9dca-4711-b1ac-bcad1ccfe606",""
"ka.js","/home/marczinusd/dev/moment/src/locale/ka.js","2","5","94","90.9090909090909","f16596d5-69bf-474f-9e05-b6c89d734ed6",""
"sl.js","/home/marczinusd/dev/moment/src/locale/sl.js","2","6","150","90.1639344262295","d29c54ff-b3c4-45c3-b517-27b3dd6be2fe",""
"tzl.js","/home/marczinusd/dev/moment/src/locale/tzl.js","1","2","78","90","01a68949-926e-4993-8893-8507cc1432ff",""
"ar.js","/home/marczinusd/dev/moment/src/locale/ar.js","2","6","127","89.47368421052632","ff7a944f-2ae4-4c3d-805c-334f951d4c6b",""
"hr.js","/home/marczinusd/dev/moment/src/locale/hr.js","3","6","131","89.1304347826087","ccb9bfec-f695-40bd-96c9-0af775673803",""
"bs.js","/home/marczinusd/dev/moment/src/locale/bs.js","2","5","132","89.1304347826087","c138f9d2-6d8a-4ad9-8ea6-626c98e08e51",""
"lb.js","/home/marczinusd/dev/moment/src/locale/lb.js","2","5","125","87.8048780487805","55f4c1ed-ef31-4185-ac79-30569f5ff550",""
"it.js","/home/marczinusd/dev/moment/src/locale/it.js","2","4","61","87.5","6151f374-2746-41f9-b31d-184e0ac324bc",""
"ja.js","/home/marczinusd/dev/moment/src/locale/ja.js","2","4","56","87.5","1f1a1189-c2f9-4808-9dc1-e1a85e6bfa6e",""
"sk.js","/home/marczinusd/dev/moment/src/locale/sk.js","2","5","149","86.79245283018868","6a516179-83fa-4cf7-818f-f1e595e35d63",""
"cs.js","/home/marczinusd/dev/moment/src/locale/cs.js","2","5","148","86.79245283018868","9c58253e-3197-4d56-ac9c-d15563cc7e6e",""
"fa.js","/home/marczinusd/dev/moment/src/locale/fa.js","2","5","96","84.61538461538461","d522dbbb-24b2-4129-8261-c003acfb65a7",""
"ar-sa.js","/home/marczinusd/dev/moment/src/locale/ar-sa.js","2","5","94","84.61538461538461","0a00995b-9a87-4257-b259-ecf7120b2e75",""
"sq.js","/home/marczinusd/dev/moment/src/locale/sq.js","2","4","60","83.33333333333333","b7bc71eb-06bb-47e5-ab6e-917f64db2479",""
"is.js","/home/marczinusd/dev/moment/src/locale/is.js","2","5","118","82.97872340425532","5afa75b1-473a-4724-a2a5-613ab1bb7d56",""
"af.js","/home/marczinusd/dev/moment/src/locale/af.js","2","5","63","77.77777777777777","bf85dcf9-2e8e-4adb-80d5-762db69c0a14",""
"az.js","/home/marczinusd/dev/moment/src/locale/az.js","2","5","95","76.47058823529412","91f255d8-afc1-4fbb-bccf-44a616e12b45",""
"th.js","/home/marczinusd/dev/moment/src/locale/th.js","2","4","56","75","e15327af-af1e-4dce-b1ab-636bfb6a865d",""
"eo.js","/home/marczinusd/dev/moment/src/locale/eo.js","2","4","64","75","00ac2263-c9f2-482f-a3ba-d02185936866",""
"locales.js","/home/marczinusd/dev/moment/src/lib/locale/locales.js","2","6","117","29.166666666666668","a6f4909b-8cc3-4a63-9dbd-fbbd4ab99a13",""
"date-from-array.js","/home/marczinusd/dev/moment/src/lib/create/date-from-array.js","1","2","19","-1","4c7958e8-550f-44cb-b6a4-ac54454cb75b",""
"from-array.js","/home/marczinusd/dev/moment/src/lib/create/from-array.js","2","5","124","-1","24b4f3a7-6dba-4d7c-b765-ea00725250a2",""
"from-object.js","/home/marczinusd/dev/moment/src/lib/create/from-object.js","1","3","13","-1","e3ca5496-62b2-4f25-8359-ad8133a2fe1d",""
"utc.js","/home/marczinusd/dev/moment/src/lib/create/utc.js","1","3","5","-1","087bdd79-7234-4608-a085-b76a33ebe1a5",""
"from-string.js","/home/marczinusd/dev/moment/src/lib/create/from-string.js","3","5","83","-1","4a9e2ca1-550f-4af3-9011-b7e5e47a240c",""
"from-anything.js","/home/marczinusd/dev/moment/src/lib/create/from-anything.js","2","6","96","-1","680efcd0-4193-49b4-95f7-706a6263a048",""
"check-overflow.js","/home/marczinusd/dev/moment/src/lib/create/check-overflow.js","2","4","28","-1","65e81b61-ba4d-4089-840e-728356afd5b3",""
"parsing-flags.js","/home/marczinusd/dev/moment/src/lib/create/parsing-flags.js","1","2","22","-1","2465f3a0-60d7-4344-bab5-7c9eb777fd68",""
"local.js","/home/marczinusd/dev/moment/src/lib/create/local.js","1","3","5","-1","5eb9cfe1-7398-4b37-8575-2bd6658a9c07",""
"from-string-and-array.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-array.js","2","4","50","-1","2dea5352-7c9b-41c8-aee8-ff2974acf725",""
"from-string-and-format.js","/home/marczinusd/dev/moment/src/lib/create/from-string-and-format.js","3","5","102","-1","7fa6e331-fc45-4e25-bf6d-77fbce409ba2",""
"valid.js","/home/marczinusd/dev/moment/src/lib/create/valid.js","2","5","37","-1","0ea02bea-919f-47f1-9c3c-364a25864593",""
"format.js","/home/marczinusd/dev/moment/src/lib/format/format.js","2","5","92","-1","75f38f62-e20f-4fc4-bc03-037422894730",""
