"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"queue.js","/home/marczinusd/dev/vue/src/transition/queue.js","1","4","35","100","8c135451-cf59-4e37-bda7-a3b39cc5c3bd",""
"init.js","/home/marczinusd/dev/vue/src/instance/init.js","1","80","114","100","989a653b-03ed-48a4-b11b-1dfdd8eb0f6a",""
"events.js","/home/marczinusd/dev/vue/src/instance/events.js","1","24","163","100","4c4b09d2-f91b-438e-ad79-7975f20cc513",""
"lifecycle.js","/home/marczinusd/dev/vue/src/instance/lifecycle.js","1","20","215","100","b78501d4-64f1-497c-aa19-82598eebe297",""
"template.js","/home/marczinusd/dev/vue/src/parsers/template.js","1","14","288","100","905fa73f-af81-4998-b003-361527c51715",""
"state.js","/home/marczinusd/dev/vue/src/instance/state.js","1","7","241","100","bf1a0b32-ade7-442b-b053-7c05a9d22f19",""
"fragment.js","/home/marczinusd/dev/vue/src/fragment/fragment.js","1","13","175","100","878fabec-606f-4e53-9bd6-6261eb29a1ef",""
"factory.js","/home/marczinusd/dev/vue/src/fragment/factory.js","1","9","56","100","dd0fa974-d996-4375-8df7-45799967db81",""
"index.js","/home/marczinusd/dev/vue/src/filters/index.js","5","19","118","100","2baa3bd7-f0ee-4905-b9f5-ca422f831d46",""
"array-filters.js","/home/marczinusd/dev/vue/src/filters/array-filters.js","1","24","105","100","a4aed075-f058-4ce7-98d8-7f9048c76240",""
"dom.js","/home/marczinusd/dev/vue/src/util/dom.js","2","42","362","100","8cbb2c53-4a2f-4994-a362-3f1dcfdd1d63",""
"env.js","/home/marczinusd/dev/vue/src/util/env.js","1","24","85","100","a9a9f702-0ed9-448f-9249-359afc08822b",""
"index.js","/home/marczinusd/dev/vue/src/util/index.js","1","13","9","100","17a63c32-f5dd-4460-a9e0-b928e61fed8b",""
"component.js","/home/marczinusd/dev/vue/src/util/component.js","1","16","150","100","5ca9b097-471d-4708-8401-419bf68aa0e1",""
"lang.js","/home/marczinusd/dev/vue/src/util/lang.js","4","44","388","100","c8e01f1b-223c-487f-aa4d-65e7d18e7f0c",""
"debug.js","/home/marczinusd/dev/vue/src/util/debug.js","1","21","47","100","bac25dff-a037-4d7e-a3cb-528c312ad15f",""
"options.js","/home/marczinusd/dev/vue/src/util/options.js","2","33","352","100","557eea12-cea6-4c79-a025-67f277eced74",""
"text.js","/home/marczinusd/dev/vue/src/parsers/text.js","1","18","160","100","5f813ed7-7b5b-4262-beea-7fdf27874a6f",""
"path.js","/home/marczinusd/dev/vue/src/parsers/path.js","1","19","358","100","deaa0619-6151-43ba-b3da-576cf536cbcd",""
"directive.js","/home/marczinusd/dev/vue/src/parsers/directive.js","1","13","134","100","b363cb0a-cb63-4c4a-90b7-f02615849313",""
"misc.js","/home/marczinusd/dev/vue/src/instance/misc.js","1","15","93","100","92db4e00-c8ba-470c-9958-364dfe9caec1",""
"index.js","/home/marczinusd/dev/vue/src/directives/public/model/index.js","1","4","82","100","f6f24627-e480-444b-b76b-0d5f8e57dbf1",""
