"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"en-ie.js","/home/marczinusd/dev/moment/src/locale/en-ie.js","5","9","68","100","9927943c-43d1-4908-bcc1-8ce0664f463b",""
"prototype.js","/home/marczinusd/dev/moment/src/lib/locale/prototype.js","2","9","88","50","d146c726-ff45-4f5d-8a0b-28a2bb1c8d8d",""
"locale.js","/home/marczinusd/dev/moment/src/lib/locale/locale.js","2","6","45","96.11940298507463","43e1c1c6-97ee-4d72-a238-0382501921ab",""
"pre-post-format.js","/home/marczinusd/dev/moment/src/lib/locale/pre-post-format.js","1","3","3","-1","5b634953-37de-43ec-aee6-f93074c50955",""
"formats.js","/home/marczinusd/dev/moment/src/lib/locale/formats.js","4","6","36","-1","8dd1ee4e-e19e-4a1e-9f60-d01e135449ea",""
"constructor.js","/home/marczinusd/dev/moment/src/lib/locale/constructor.js","1","4","5","-1","1134ce75-ddcf-4928-9c2b-22b2ccd15226",""
"invalid.js","/home/marczinusd/dev/moment/src/lib/locale/invalid.js","1","3","5","78.0701754385965","badc674e-a0e2-4eba-9464-e7ee04245f5e",""
"ordinal.js","/home/marczinusd/dev/moment/src/lib/locale/ordinal.js","2","5","8","-1","38bd9447-73f5-47ef-9c19-60f536241357",""
"relative.js","/home/marczinusd/dev/moment/src/lib/locale/relative.js","5","8","32","-1","aaa904d6-0cca-44e2-bb72-1131476811b5",""
"base-config.js","/home/marczinusd/dev/moment/src/lib/locale/base-config.js","2","5","41","-1","4cfa0c96-e2fc-4710-a59d-6de05d6ef4d5",""
"calendar.js","/home/marczinusd/dev/moment/src/lib/locale/calendar.js","3","5","15","77.27272727272727","b00e2065-866c-44ab-ad7c-b60a95b44c62",""
"lists.js","/home/marczinusd/dev/moment/src/lib/locale/lists.js","2","7","93","-1","c4496d74-6d88-4ed3-9109-29b8adab8a44",""
"locales.js","/home/marczinusd/dev/moment/src/lib/locale/locales.js","17","42","242","-1","76050604-6410-4782-a940-0b433a983677",""
"en.js","/home/marczinusd/dev/moment/src/lib/locale/en.js","4","9","39","89.52380952380952","323d4720-8923-4618-bf02-2319fe50f3da",""
"set.js","/home/marczinusd/dev/moment/src/lib/locale/set.js","5","11","56","92.89772727272727","1c4d381c-4f8e-41be-85e9-e373694ae0ea",""
"prototype.js","/home/marczinusd/dev/moment/src/lib/duration/prototype.js","4","9","78","50","ae12b2a7-174e-4920-81c7-542e143709a7",""
"priorities.js","/home/marczinusd/dev/moment/src/lib/units/priorities.js","3","5","21","-1","5846f844-ec33-45ce-b7d6-0a22bc4e13d5",""
"week-calendar-utils.js","/home/marczinusd/dev/moment/src/lib/units/week-calendar-utils.js","3","8","66","-1","3bb79d82-dfa7-4e8a-884b-f36b7c02de06",""
