"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
".eslintrc.js","/home/marczinusd/dev/react/.eslintrc.js","1","3","73","-1","0d611dfe-58a5-4f03-91dd-291325aea88b",""
"ReactDefaultInjection.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDefaultInjection.js","6","20","106","-1","ae0ca6b1-da0d-43cb-b998-a79742906ce5",""
"ReactDOMComponentFlags.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDOMComponentFlags.js","3","4","18","-1","07e7899f-dace-4328-a8f8-b6a00ea625ef",""
"ReactDOMDebugTool.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDOMDebugTool.js","4","5","66","-1","c49c28cb-c288-4617-aeed-93a995fdf20e",""
"Danger.js","/home/marczinusd/dev/react/src/renderers/dom/shared/Danger.js","5","9","185","-1","69b4909a-69f4-480c-a92d-9cd9fbd7fe4f",""
"quoteAttributeValueForBrowser.js","/home/marczinusd/dev/react/src/renderers/dom/shared/quoteAttributeValueForBrowser.js","2","3","26","-1","bf5fecb8-36a0-4eef-84d3-1f75883b1c66",""
"DOMProperty.js","/home/marczinusd/dev/react/src/renderers/dom/shared/DOMProperty.js","8","11","235","-1","edad09de-710a-4eb7-93b4-a4debd9199d0",""
"SVGDOMPropertyConfig.js","/home/marczinusd/dev/react/src/renderers/dom/shared/SVGDOMPropertyConfig.js","6","14","300","-1","82d23d20-e202-4a94-ac85-457fce1eb279",""
"ReactDOMInstrumentation.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDOMInstrumentation.js","2","3","16","-1","a2767078-5820-4788-921c-602a91cef38c",""
"ReactDOMContainerInfo.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDOMContainerInfo.js","2","5","35","-1","de55247b-95ed-4361-b383-8b9694aed4ae",""
"ReactDOMTextComponent.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactDOMTextComponent.js","7","26","190","-1","35a4e585-be44-406a-872e-ac43521864b6",""
"CSSProperty.js","/home/marczinusd/dev/react/src/renderers/dom/shared/CSSProperty.js","9","11","147","-1","b807c6a1-42d8-46fa-8cc7-cb07d0c37b69",""
"escapeTextContentForBrowser.js","/home/marczinusd/dev/react/src/renderers/dom/shared/escapeTextContentForBrowser.js","2","3","38","-1","483e83b7-541e-4fac-a4ed-d3fa8ef07a5e",""
"ReactComponentBrowserEnvironment.js","/home/marczinusd/dev/react/src/renderers/dom/shared/ReactComponentBrowserEnvironment.js","4","6","51","-1","a82138fb-18ed-4508-8a6f-fd74298b0a83",""
