"Filename","Path","Lifetime Authors","Lifetime Changes","Line Count","Coverage Percentage","Id",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/util/index.js","2","14","25","100","7675ce74-6b02-4194-ade5-165d79e0dbe6",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/web/util/attrs.js","4","20","54","100","d3ea258c-4c0c-4373-bedb-0420eca47341",""
"style.js","/home/marczinusd/dev/vue/src/platforms/web/util/style.js","3","9","71","100","04670013-0d36-4e75-b7fb-6c042c193cca",""
"compat.js","/home/marczinusd/dev/vue/src/platforms/web/util/compat.js","2","5","16","100","71b9dcb0-b720-4fe7-9d22-2ea35c9803bc",""
"resolve-filter.js","/home/marczinusd/dev/vue/src/core/instance/render-helpers/resolve-filter.js","1","2","10","100","fe5a07d2-0d4b-4d62-be56-173cb87e7cbc",""
"model.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/directives/model.js","12","43","147","100","3d97c5a6-daa8-458a-8826-22800b1693c3",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/directives/index.js","1","2","7","100","3d6478ae-4502-40cc-8a0e-dd52d338b251",""
"index.js","/home/marczinusd/dev/vue/src/platforms/web/runtime/components/index.js","1","6","7","100","8c17a0d5-83d2-44d6-8e94-a6c5fe366856",""
"class.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/class.js","4","8","76","100","b012ed8e-a882-425a-8b72-31d159ed44ad",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/index.js","1","3","13","100","4edaff7b-4474-494c-a8cc-5cc3daca80d5",""
"attrs.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/attrs.js","2","3","44","100","35d09a11-60da-4390-a8a4-cf6a1f066065",""
"style.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/style.js","3","5","84","100","0391d7f4-f674-4445-9a48-fb2a1f8af6dc",""
"transition.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/transition.js","3","11","270","100","66e0cf4c-26e4-4161-8249-847f4b80e644",""
"model.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/directives/model.js","2","4","33","100","24b6ab21-b1fe-4a10-8231-e30db6abad37",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/directives/index.js","2","3","5","100","399e4279-8be6-4bcd-ba09-6a5ad19dde4e",""
"class.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/class.js","2","6","74","100","74cc3627-855f-47ab-92ce-6def0675ed9f",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/index.js","2","4","13","100","17fab622-cfff-44f9-8d2f-82bdf0329342",""
"events.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/modules/events.js","4","8","54","100","8953100a-0110-4be7-bd6b-40a51ea8714a",""
"props.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/props.js","3","5","37","100","a80f81f7-5e0d-464c-85d5-8e7a5afe98a7",""
"style.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/style.js","3","7","87","100","d8abd051-5a04-4421-9958-0ce685568849",""
"v-on.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/v-on.js","2","5","25","-1","7c1c6cbe-9a0d-4bd2-bb60-e26ddc1e7e0a",""
"recycle-list.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/recycle-list.js","2","3","50","-1","0728f045-3381-4035-8c7e-8d07f44a8707",""
"v-once.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/v-once.js","2","3","19","-1","2a5ec4ca-f6c7-4e6a-a765-4219f6281112",""
"text.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/text.js","2","7","23","100","a7bdf5fe-f961-4af3-ab8d-3fcff22bc653",""
"component-root.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/component-root.js","2","7","13","-1","e5c0b07a-faf0-4fc2-a5d7-2f62207a47d2",""
"v-bind.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/v-bind.js","2","9","21","-1","672af94a-bc8d-4012-aca3-d479ccfcd733",""
"index.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/index.js","2","19","60","100","5508f2a9-965f-426e-9298-b2a59c0c84e8",""
"v-if.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/recycle-list/v-if.js","2","9","63","-1","3482c5f4-5fd1-4a1f-b091-35dd6ed187e4",""
"append.js","/home/marczinusd/dev/vue/src/platforms/weex/compiler/modules/append.js","3","7","27","-1","d92ad99f-2486-4982-8caf-1c155fb64819",""
"render-component-template.js","/home/marczinusd/dev/vue/src/platforms/weex/runtime/recycle-list/render-component-template.js","2","5","34","-1","a6905a00-ab8a-4282-8d49-e9dc60edc01e",""
